,Sno,MovieName,Director1,Director2,Director3,Duration,Genre1,Genre2,Genre3,Ratings
1535,"1,536",Eight Legged Freaks,Ellory Elkayem,,,99,Action,Adventure,Comedy,5.5
1536,"1,537",Lara Croft: Tomb Raider - The Cradle of Life,Jan de Bont,,,117,Action,Adventure,Fantasy,5.5
1537,"1,538",Peninsula,Sang-ho Yeon,,,116,Action,Horror,Thriller,5.5
1538,"1,539",Star Trek V: The Final Frontier,William Shatner,,,107,Action,Adventure,Fantasy,5.5
1539,"1,540",Under Siege 2: Dark Territory,Geoff Murphy,,,100,Action,Adventure,Thriller,5.5
1540,"1,541",Beverly Hills Cop III,John Landis,,,104,Action,Comedy,Crime,5.5
1541,"1,542",The Bounty Hunter,Andy Tennant,,,110,Action,Comedy,Romance,5.5
1542,"1,543",The Happytime Murders,Brian Henson,,,91,Action,Comedy,Crime,5.5
1543,"1,544",Collateral Damage,Andrew Davis,,,108,Action,Drama,Thriller,5.5
1544,"1,545",Stolen,Simon West,,,96,Action,Crime,Thriller,5.5
1545,"1,546",Beverly Hills Ninja,Dennis Dugan,,,88,Action,Comedy,,5.5
1546,"1,547",Babylon A.D.,Mathieu Kassovitz,,,90,Action,Adventure,Sci-Fi,5.5
1547,"1,548",Cop Out,Kevin Smith,,,107,Action,Comedy,Crime,5.5
1548,"1,549",Fighting,Dito Montiel,,,105,Action,Crime,Drama,5.5
1549,"1,550",Whiteout,Dominic Sena,,,101,Action,Crime,Mystery,5.5
1550,"1,551",The Man,Les Mayfield,,,83,Action,Comedy,Crime,5.5
1551,"1,552",Showtime,Tom Dey,,,95,Action,Comedy,Crime,5.5
1552,"1,553",Taxi 4,Gérard Krawczyk,,,91,Action,Comedy,Crime,5.5
1553,"1,554",Gunjan Saxena: The Kargil Girl,ALi Khan AK,Sharan Sharma,,112,Action,Biography,Drama,5.5
1554,"1,555",65,Scott Beck,Bryan Woods,,93,Action,Adventure,Drama,5.4
